Sniper: Ghost Warrior Contracts + Update 1 + 9 DLCs, 185
Warhammer: Chaosbane  Deluxe Edition  Build 27.02.2020 + 11 DLCs, 185
Naruto to Boruto: Shinobi Striker  v1.03.00, 184
Dead or Alive 5: Last Round  v1.10C + All DLCs + Unlocker, 183
Borderlands: Game of The Year Edition  v1.5.0 + 4 DLCs, 182
Immortal: Unchained v1.10 + 3 DLCs, 182
Killing Floor 2: Digital Deluxe Edition  v1090, 182
Age of Empires 3: Complete Collection, 181
SENRAN KAGURA Peach Beach Splash  v1.01 + 28 DLCs, 180
Dead Space 3: Limited Edition  v1.0.0.1 + 12 DLCs/Items, 178
Subnautica  v59783/Release, 176
Terminator: Resistance, 176
"The Walking Dead: The Final Season (All Episodes,  1-4)", 176
Tyranny: Overlord Edition  v1.2.0.0079 + 5 DLCs, 176
ASTRONEER  v1.13.121.0 (Automation Update), 175
BATTLETECH: Digital Deluxe Edition  v1.8.0 + All DLCs & Bonus Content, 174
Metal Gear Solid V: Ground Zeroes  v1.0.0.5 + CrackFix, 174
Steins;Gate Elite, 173
Senran Kagura Estival Versus + 13 DLCs, 171
Ashen, 170
Sword Art Online RE: Hollow Fragment + Multiplayer, 170
Command & Conquer: Red Alert 3 + Uprising Add-on  v1.12/v1.0, 169
My Time at Portia  v2.0.139521 + 8 DLCs, 169
Shenmue III  v1.05.03 + 5 DLCs, 168
Hunting Simulator  v1.2 + DLC, 167
Mantis Burn Racing + 3 DLCs, 167
MX vs. ATV All Out  v2.9.6 HotFix + 37 DLCs, 167
Shadows: Awakening  v1.1, 167
Torment: Tides of Numenera  v1.0.1 + 4 DLCs, 163
WRC 7 FIA World Rally Championship  v1.4 + Porsche DLC, 163
Company of Heroes 2: Master Collection  v4.0.0.21748 + All DLCs, 162
Metal Gear Rising: Revengeance + Update 2, 162
Quantum Break  Live Series Offline Add-on, 162
Blue Reflection  v1.01/Update 1 + DLCs, 161
Unravel, 160
Viscera Cleanup Detail  v1.092 + House of Horror DLC, 160
Madden NFL 20  v08.20.2019, 159
Farming Simulator 17   v1.2.1 + 5 DLCs + 2 Mods, 158
Endless Space 2  v1.5.3.S5 + All DLCs, 157
NARUTO SHIPPUDEN: Ultimate Ninja STORM 2, 157
Burnout Paradise: The Ultimate Box  v20171009 + All DLCs, 155
Crysis Warhead  v1.1.1.711, 155
NBA Playgrounds  v1.4.0 + 2 DLCs, 155
Pillars of Eternity: Definitive Edition, 153
Sword Art Online: Lost Song, 153
FlatOut 4: Total Insanity + Free Multiplayer, 152
SINNER: Sacrifice for Redemption, 150
WRC 6 FIA World Rally Championship  v1.0.53 + DLC + Multiplayer, 150
Ultimate Marvel vs. Capcom 3, 149
WRC 8 FIA World Rally Championship, 149
"Project CARS: Game of the Year Edition,  v11.2 + All DLCs", 148
Resonance of Fate  4K/HD Edition, 148
Berserk and the Band of the Hawk + 6 DLCs, 147
Get Even, 147
Lara Croft GO + The Mirror of Spirits, 147
The Sinking City: Necronomicon Edition  v3757.2 + 2 DLCs, 147
Phoenix Point  v1.6 + 2 DLC + 3 Bonus OSTs, 145
"Absolver,  v1.24.478 (Downfall) + 2 DLCs", 144
"Dreamfall Chapters: The Final Cut,  v5.7.2.1", 144
